date,campaign_name,platform,ad_creative_type,audience_segment,impressions,clicks,conversions,spend,revenue
01-01-2024,Campaign 1,Instagram,Video,Gen Z,1930,49,6,96.47,433.75
01-01-2024,Campaign 1,Instagram,Video,Millennials,3667,79,10,184,854.04
01-01-2024,Campaign 1,Instagram,Video,Gen X,380,8,0,24.93,0
01-01-2024,Campaign 1,Instagram,Image,Gen Z,4025,31,0,187.97,0
01-01-2024,Campaign 1,Instagram,Image,Millennials,1237,17,0,44.66,0
01-01-2024,Campaign 1,Instagram,Image,Gen X,144,0,0,5.79,0
01-01-2024,Campaign 1,Instagram,Carousel,Gen Z,2264,24,1,69.17,53.25
01-01-2024,Campaign 1,Instagram,Carousel,Millennials,2217,63,3,89.45,152.39
01-01-2024,Campaign 1,Instagram,Carousel,Gen X,498,11,0,14.13,0
01-01-2024,Campaign 1,TikTok,Video,Gen Z,6613,312,23,350.33,1508.47
01-01-2024,Campaign 1,TikTok,Video,Millennials,956,25,2,23.15,184.23
01-01-2024,Campaign 1,TikTok,Video,Gen X,327,15,2,16.36,192.19
01-01-2024,Campaign 1,TikTok,Image,Gen Z,6314,50,0,237.46,0
01-01-2024,Campaign 1,TikTok,Image,Millennials,418,5,0,27.89,0
01-01-2024,Campaign 1,TikTok,Image,Gen X,296,2,0,7.75,0
01-01-2024,Campaign 1,TikTok,Carousel,Gen Z,5231,93,3,122.53,179.83
01-01-2024,Campaign 1,TikTok,Carousel,Millennials,445,10,0,11.62,0
01-01-2024,Campaign 1,TikTok,Carousel,Gen X,70,1,0,3.01,0
01-01-2024,Campaign 1,Facebook,Video,Gen Z,751,22,1,42.06,81.88
01-01-2024,Campaign 1,Facebook,Video,Millennials,2785,95,5,153.98,440.2
01-01-2024,Campaign 1,Facebook,Video,Gen X,2644,71,5,65.12,427.67
01-01-2024,Campaign 1,Facebook,Image,Gen Z,1440,7,0,34.86,0
01-01-2024,Campaign 1,Facebook,Image,Millennials,2281,30,1,66.44,80.22
01-01-2024,Campaign 1,Facebook,Image,Gen X,1839,30,0,48.35,0
01-01-2024,Campaign 1,Facebook,Carousel,Gen Z,1054,29,1,38.23,55.27
01-01-2024,Campaign 1,Facebook,Carousel,Millennials,4445,115,3,282.07,230.9
01-01-2024,Campaign 1,Facebook,Carousel,Gen X,1764,21,0,113.1,0
02-01-2024,Campaign 1,Instagram,Video,Gen Z,2153,70,9,133.52,453.13
02-01-2024,Campaign 1,Instagram,Video,Millennials,3787,136,13,205.79,825.12
02-01-2024,Campaign 1,Instagram,Video,Gen X,381,18,1,17.68,85.15
02-01-2024,Campaign 1,Instagram,Image,Gen Z,4116,24,0,140.08,0
02-01-2024,Campaign 1,Instagram,Image,Millennials,1818,16,0,91.91,0
02-01-2024,Campaign 1,Instagram,Image,Gen X,332,1,0,17.18,0
02-01-2024,Campaign 1,Instagram,Carousel,Gen Z,4086,80,6,138.16,501.64
02-01-2024,Campaign 1,Instagram,Carousel,Millennials,1101,19,0,65.39,0
02-01-2024,Campaign 1,Instagram,Carousel,Gen X,354,8,0,9.52,0
02-01-2024,Campaign 1,TikTok,Video,Gen Z,7169,252,30,443.74,1988.94
02-01-2024,Campaign 1,TikTok,Video,Millennials,451,18,2,17.45,109.62
02-01-2024,Campaign 1,TikTok,Video,Gen X,294,11,0,19.23,0
02-01-2024,Campaign 1,TikTok,Image,Gen Z,6577,105,1,312.14,84.79
02-01-2024,Campaign 1,TikTok,Image,Millennials,381,5,0,18.32,0
02-01-2024,Campaign 1,TikTok,Image,Gen X,50,0,0,2.42,0
02-01-2024,Campaign 1,TikTok,Carousel,Gen Z,6079,102,4,339.62,379.42
02-01-2024,Campaign 1,TikTok,Carousel,Millennials,325,5,0,20,0
02-01-2024,Campaign 1,TikTok,Carousel,Gen X,259,7,0,6.02,0
02-01-2024,Campaign 1,Facebook,Video,Gen Z,549,27,2,20.14,148.56
02-01-2024,Campaign 1,Facebook,Video,Millennials,3617,143,10,199.77,618.62
02-01-2024,Campaign 1,Facebook,Video,Gen X,1650,41,3,93.55,258.14
02-01-2024,Campaign 1,Facebook,Image,Gen Z,819,11,0,32.4,0
02-01-2024,Campaign 1,Facebook,Image,Millennials,5446,75,3,244.88,285.91
02-01-2024,Campaign 1,Facebook,Image,Gen X,2037,34,1,99.98,74.63
02-01-2024,Campaign 1,Facebook,Carousel,Gen Z,726,10,0,35.45,0
02-01-2024,Campaign 1,Facebook,Carousel,Millennials,5839,79,6,386.83,574.46
02-01-2024,Campaign 1,Facebook,Carousel,Gen X,2073,51,3,78.47,232.91
03-01-2024,Campaign 1,Instagram,Video,Gen Z,1803,88,11,65.25,761.8
03-01-2024,Campaign 1,Instagram,Video,Millennials,1592,46,3,76.65,290.42
03-01-2024,Campaign 1,Instagram,Video,Gen X,334,15,0,10.8,0
03-01-2024,Campaign 1,Instagram,Image,Gen Z,2343,16,0,147.05,0
03-01-2024,Campaign 1,Instagram,Image,Millennials,3170,32,0,189.15,0
03-01-2024,Campaign 1,Instagram,Image,Gen X,253,4,0,11.53,0
03-01-2024,Campaign 1,Instagram,Carousel,Gen Z,2684,30,1,67.35,94.33
03-01-2024,Campaign 1,Instagram,Carousel,Millennials,1583,27,0,77.79,0
03-01-2024,Campaign 1,Instagram,Carousel,Gen X,382,5,0,23.29,0
